Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit
CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392
CA-2016-130162,10/28/2016,11/1/2016,"Standard Class",JH-15910,TEC-PH-10002563,302.376,3,0.2,22.6782
CA-2015-169397,12/24/2015,12/27/2015,"First Class",JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904
CA-2015-163055,8/9/2015,8/16/2015,"Standard Class",DS-13180,FUR-TA-10003748,622.45,5,0,136.939
CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,FUR-CH-10004063,2001.86,7,0,580.5394
CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,TEC-AC-10003832,3347.37,13,0,636.0003
CA-2016-146941,12/10/2016,12/13/2016,"First Class",DL-13315,OFF-EN-10003296,361.92,4,0,162.864
US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997
CA-2016-125318,6/6/2016,6/13/2016,"Standard Class",RC-19825,TEC-PH-10001433,328.224,4,0.2,28.7196
US-2015-161991,9/26/2015,9/28/2015,"Second Class",SC-20725,TEC-PH-10001760,1114.4,7,0.2,376.11
CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",JO-15280,FUR-TA-10002903,1038.84,5,0.2,51.942
CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,OFF-SU-10000646,961.48,5,0.2,-204.3145
CA-2014-111003,6/1/2014,6/6/2014,"Standard Class",CR-12625,OFF-AR-10002135,289.2,6,0,83.868
CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,TEC-MA-10002927,3991.98,2,0,1995.99
CA-2015-137946,9/1/2015,9/4/2015,"Second Class",DB-13615,TEC-CO-10001449,959.984,2,0.2,335.9944
CA-2014-129924,7/12/2014,7/17/2014,"Standard Class",AC-10420,FUR-TA-10004575,698.352,3,0.2,-17.4588
CA-2017-169901,6/15/2017,6/19/2017,"Standard Class",CC-12550,TEC-PH-10002293,47.976,3,0.2,4.7976
CA-2016-129714,9/1/2016,9/3/2016,"First Class",AB-10060,OFF-BI-10004995,4355.168,4,0.2,1415.4296
CA-2016-155516,10/21/2016,10/21/2016,"Same Day",MK-17905,FUR-BO-10002545,1043.92,4,0,271.4192
US-2014-119137,7/23/2014,7/27/2014,"Standard Class",AG-10900,TEC-AC-10003911,1023.936,8,0.2,179.1888
US-2017-134481,8/27/2017,9/1/2017,"Standard Class",AR-10405,FUR-TA-10004915,1488.424,7,0.3,-297.6848
US-2015-168935,11/27/2015,12/2/2015,"Standard Class",DO-13435,FUR-TA-10000617,375.4575,3,0.45,-157.0095
US-2014-135972,9/21/2014,9/23/2014,"Second Class",JG-15115,TEC-CO-10002313,1799.97,3,0,701.9883
CA-2016-108987,9/8/2016,9/10/2016,"Second Class",AG-10675,FUR-BO-10004834,2396.2656,4,0.32,-317.1528
CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,FUR-BO-10001972,1336.829,13,0.15,31.4548
CA-2016-147375,6/12/2016,6/14/2016,"Second Class",PO-19180,TEC-MA-10002937,1007.979,3,0.3,43.1991
CA-2016-109869,4/22/2016,4/29/2016,"Standard Class",TN-21040,FUR-TA-10001889,1272.63,6,0.5,-814.4832
US-2015-101399,1/17/2015,1/24/2015,"Standard Class",JS-15940,FUR-FU-10002918,254.744,7,0.6,-312.0614
CA-2016-100790,6/26/2016,7/2/2016,"Standard Class",JG-15805,OFF-ST-10000689,704.25,5,0,84.51
CA-2014-127691,7/22/2014,7/27/2014,"Standard Class",EM-14065,TEC-AC-10002567,159.98,2,0,57.5928
CA-2017-140963,6/10/2017,6/13/2017,"First Class",MT-18070,FUR-BO-10001337,514.165,5,0.15,-30.245
CA-2014-154627,10/29/2014,10/31/2014,"First Class",SA-20830,TEC-PH-10001363,2735.952,6,0.2,341.994
CA-2014-113362,9/14/2014,9/19/2014,"Standard Class",AJ-10960,OFF-ST-10001809,449.15,5,0,8.983
US-2016-105578,5/30/2016,6/4/2016,"Standard Class",MY-17380,FUR-CH-10001215,801.568,2,0.2,50.098
CA-2015-145352,3/16/2015,3/22/2015,"Standard Class",CM-12385,OFF-BI-10003527,6354.95,5,0,3177.475
CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,TEC-CO-10003236,2999.95,5,0,1379.977
CA-2017-113558,10/21/2017,10/26/2017,"Standard Class",PH-18790,FUR-CH-10003379,683.952,3,0.2,42.747
US-2017-129441,9/7/2017,9/11/2017,"Standard Class",JC-15340,FUR-FU-10000448,47.94,3,0,2.397
US-2015-120161,12/18/2015,12/23/2015,"Standard Class",LM-17065,OFF-ST-10001809,646.776,9,0.2,-145.5246
CA-2017-162929,11/19/2017,11/22/2017,"First Class",AS-10135,OFF-BI-10000404,41.28,6,0.2,13.932
CA-2017-100650,6/29/2017,7/3/2017,"Second Class",DK-13225,OFF-ST-10001780,1295.78,2,0,310.9872
CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,TEC-CO-10004115,1199.976,3,0.2,434.9913
CA-2014-149958,3/15/2014,3/19/2014,"Standard Class",AS-10240,OFF-ST-10001490,142.776,1,0.2,17.847
CA-2016-115917,5/20/2016,5/25/2016,"Standard Class",RB-19465,FUR-FU-10000576,1049.2,5,0,272.792
CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,OFF-ST-10001490,999.432,7,0.2,124.929
CA-2016-123666,3/26/2016,3/30/2016,"Standard Class",SP-20545,OFF-ST-10001522,459.95,5,0,18.398
CA-2017-132682,6/8/2017,6/10/2017,"Second Class",TH-21235,TEC-PH-10004042,381.576,3,0.2,28.6182
US-2017-168116,11/4/2017,11/4/2017,"Same Day",GT-14635,TEC-MA-10004125,7999.98,4,0.5,-3839.9904
CA-2014-138527,9/12/2014,9/17/2014,"Standard Class",BN-11470,OFF-AP-10001469,166.84,5,0.2,18.7695
CA-2014-112158,12/2/2014,12/4/2014,"First Class",DP-13165,FUR-BO-10003272,883.92,5,0.2,-110.49
CA-2016-142335,12/15/2016,12/19/2016,"Standard Class",MP-17965,FUR-TA-10000198,1652.94,3,0,231.4116
US-2016-150861,12/3/2016,12/6/2016,"First Class",EG-13900,FUR-CH-10002965,542.646,3,0.1,102.4998
CA-2017-131954,1/21/2017,1/25/2017,"Standard Class",DS-13030,OFF-ST-10000736,242.94,3,0,9.7176
CA-2016-140928,9/18/2016,9/22/2016,"Standard Class",NB-18655,FUR-TA-10001095,383.438,4,0.45,-167.3184
CA-2015-114923,2/8/2015,2/13/2015,"Standard Class",LH-17020,TEC-PH-10003931,107.982,3,0.4,-26.9955
CA-2014-162775,1/13/2014,1/15/2014,"Second Class",CS-12250,TEC-AC-10003174,646.74,6,0,258.696
CA-2016-157245,5/19/2016,5/24/2016,"Standard Class",LE-16810,FUR-CH-10003746,641.96,2,0,179.7488
CA-2016-105256,5/20/2016,5/20/2016,"Same Day",JK-15730,TEC-PH-10001530,1363.96,5,0.2,85.2475
CA-2014-134313,11/1/2014,11/7/2014,"Standard Class",RA-19915,TEC-PH-10001795,1983.968,4,0.2,247.996
CA-2017-143686,5/14/2017,5/14/2017,"Same Day",PJ-19015,TEC-AC-10001838,1399.93,7,0,601.9699
CA-2014-140858,6/28/2014,7/2/2014,"Standard Class",CA-12775,FUR-CH-10001394,1228.465,5,0.3,0
CA-2016-158099,9/3/2016,9/5/2016,"First Class",PK-18910,OFF-BI-10000545,1141.47,5,0.7,-760.98
CA-2014-148488,12/10/2014,12/15/2014,"Standard Class",SM-20005,OFF-BI-10000315,106.344,7,0.2,37.2204
CA-2017-111689,11/30/2017,12/2/2017,"Second Class",HP-14815,FUR-CH-10004287,1242.9,5,0.1,262.39
CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,TEC-AC-10004666,1928.78,7,0,829.3754
CA-2016-149797,9/15/2016,9/20/2016,"Standard Class",AH-10075,OFF-BI-10003650,841.568,2,0.2,294.5488
CA-2016-140081,6/20/2016,6/24/2016,"Standard Class",CG-12040,OFF-AP-10001058,447.696,2,0.2,33.5772
CA-2016-142958,12/13/2016,12/20/2016,"Standard Class",RW-19630,FUR-TA-10000577,1114.272,4,0.2,41.7852
US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,FUR-TA-10004154,2065.32,12,0.4,-619.596
CA-2017-136539,12/28/2017,1/1/2018,"Standard Class",GH-14665,FUR-BO-10004709,78.8528,2,0.32,-11.596
CA-2017-135279,4/9/2017,4/11/2017,"First Class",BS-11800,OFF-ST-10001097,501.81,3,0,0
CA-2017-159366,1/7/2017,1/10/2017,"First Class",BW-11110,TEC-MA-10000822,3059.982,2,0.1,679.996
CA-2014-163419,11/11/2014,11/14/2014,"Second Class",TZ-21580,FUR-CH-10000665,603.92,5,0.2,75.49
CA-2017-100314,9/29/2017,10/5/2017,"Standard Class",AS-10630,TEC-MA-10003066,336.51,3,0.4,44.868
CA-2014-117639,5/21/2014,5/25/2014,"Standard Class",MW-18235,OFF-BI-10003925,2715.93,7,0,1276.4871
CA-2015-124891,7/31/2015,7/31/2015,"Same Day",RH-19495,TEC-AC-10003033,2309.65,7,0,762.1845
US-2015-126214,12/21/2015,12/24/2015,"Second Class",JS-15880,FUR-TA-10003748,1618.37,13,0,356.0414
CA-2015-108665,7/6/2015,7/10/2015,"Standard Class",KM-16225,OFF-ST-10001526,601.65,5,0,156.429
CA-2016-113061,4/22/2016,4/26/2016,"Standard Class",EL-13735,FUR-FU-10003975,86.62,2,0,8.662
CA-2016-102981,9/6/2016,9/9/2016,"Second Class",MO-17500,FUR-BO-10001811,722.352,3,0.2,90.294
CA-2017-132521,9/23/2017,9/25/2017,"Second Class",DW-13540,OFF-AP-10002191,119.96,2,0,33.5888
CA-2015-110016,11/29/2015,12/4/2015,"Standard Class",BT-11395,FUR-CH-10002880,1106.91,9,0,121.7601
US-2016-143819,3/1/2016,3/5/2016,"Standard Class",KD-16270,TEC-MA-10003979,4899.93,7,0,2400.9657
CA-2015-165085,12/27/2015,12/31/2015,"Standard Class",BT-11485,OFF-AP-10002518,355.96,2,0,103.2284
US-2016-110156,11/19/2016,11/24/2016,"Standard Class",EH-13945,OFF-ST-10000642,100.704,6,0.2,-16.3644
CA-2015-142755,9/4/2015,9/8/2015,"Standard Class",CS-12355,TEC-AC-10002049,619.95,5,0,111.591
CA-2014-128146,6/21/2014,6/25/2014,"Standard Class",DB-13060,TEC-PH-10004539,1322.93,7,0,357.1911
CA-2017-117212,2/26/2017,2/28/2017,"Second Class",BT-11530,FUR-CH-10003973,892.224,3,0.2,89.2224
CA-2016-114727,7/18/2016,7/24/2016,"Standard Class",LS-16945,FUR-CH-10002331,854.352,3,0.2,10.6794
CA-2017-133235,8/1/2017,8/4/2017,"First Class",LH-16750,TEC-PH-10002660,271.96,5,0.2,16.9975
CA-2016-137050,7/14/2016,7/18/2016,"Second Class",SW-20755,FUR-BO-10004695,579.136,4,0.2,21.7176
US-2017-118087,9/9/2017,9/13/2017,"Standard Class",SP-20620,TEC-PH-10002200,1931.958,7,0.4,-386.3916
CA-2014-168494,12/12/2014,12/14/2014,"Second Class",NP-18700,FUR-TA-10003473,3610.848,12,0.2,135.4068
CA-2017-115602,12/18/2017,12/24/2017,"Standard Class",DJ-13630,OFF-AP-10000891,1704.56,13,0,511.368
CA-2017-117079,10/23/2017,10/27/2017,"Standard Class",JR-15700,TEC-PH-10004586,863.88,3,0.2,107.985
US-2014-167738,12/24/2014,12/29/2014,"Standard Class",JC-16105,FUR-CH-10001146,292.272,6,0.2,18.267
CA-2016-160815,9/5/2016,9/6/2016,"First Class",TR-21325,TEC-PH-10003505,278.4,3,0,80.736
CA-2015-138898,5/25/2015,5/29/2015,"Standard Class",JH-16180,OFF-AP-10004487,845.728,13,0.2,84.5728
US-2017-126179,7/3/2017,7/7/2017,"Standard Class",CS-12460,TEC-PH-10001557,287.97,3,0,77.7519
CA-2014-160773,7/1/2014,7/5/2014,"Standard Class",LW-16825,TEC-PH-10004586,575.92,2,0.2,71.99
CA-2017-167703,2/3/2017,2/8/2017,"Standard Class",MC-17575,OFF-ST-10001490,285.552,2,0.2,35.694
CA-2017-100524,3/31/2017,4/2/2017,"Second Class",CM-12115,TEC-PH-10002549,677.58,3,0,176.1708
US-2017-155425,11/10/2017,11/11/2017,"First Class",AB-10600,FUR-CH-10003312,899.136,4,0.2,-146.1096
US-2015-103471,12/24/2015,12/28/2015,"Standard Class",JR-15670,FUR-BO-10002613,590.058,7,0.7,-786.744
CA-2015-120362,9/14/2015,9/19/2015,"Standard Class",CA-12265,FUR-TA-10003008,912.75,5,0,118.6575
US-2017-117247,10/9/2017,10/14/2017,"Standard Class",CK-12760,FUR-TA-10002958,652.45,5,0.5,-430.617
CA-2015-126697,9/21/2015,9/24/2015,"First Class",SV-20815,TEC-PH-10002922,946.344,7,0.2,118.293
CA-2014-120768,12/19/2014,12/21/2014,"Second Class",IM-15070,FUR-CH-10000513,1819.86,14,0,163.7874
CA-2015-139731,10/15/2015,10/15/2015,"Same Day",JE-15745,FUR-CH-10002024,2453.43,5,0.3,-350.49
CA-2016-133711,11/26/2016,11/29/2016,"First Class",MC-17425,TEC-MA-10000010,3040,8,0,1459.2
CA-2017-139199,12/9/2017,12/13/2017,"Standard Class",DK-12835,FUR-CH-10000847,872.94,3,0,226.9644
CA-2017-130386,11/12/2017,11/18/2017,"Standard Class",NG-18430,OFF-ST-10003716,540.048,3,0.2,-47.2542
CA-2015-153388,8/1/2015,8/7/2015,"Standard Class",PC-19000,FUR-TA-10003715,1004.976,6,0.2,-175.8708
CA-2017-148446,12/10/2017,12/14/2017,"Second Class",MC-17845,FUR-TA-10004256,1669.6,4,0,116.872
CA-2017-121888,9/15/2017,9/17/2017,"Second Class",CL-11890,FUR-BO-10002545,782.94,3,0,203.5644
CA-2014-150245,12/31/2014,1/4/2015,"Second Class",PC-18745,FUR-BO-10002613,1573.488,7,0.2,196.686
CA-2017-158386,10/16/2017,10/21/2017,"Standard Class",BO-11425,OFF-BI-10003719,124.75,5,0,57.385
US-2017-102890,6/30/2017,6/30/2017,"Same Day",SG-20470,FUR-TA-10000577,1044.63,5,0.4,-295.9785
CA-2015-132101,3/19/2015,3/25/2015,"Standard Class",JO-15550,TEC-PH-10004539,453.576,3,0.2,39.6879
CA-2014-101602,12/15/2014,12/18/2014,"First Class",MC-18100,FUR-CH-10004675,763.28,5,0.3,-21.808
CA-2015-131338,8/9/2015,8/12/2015,"First Class",NP-18325,OFF-BI-10000545,1217.568,2,0.2,456.588
US-2016-113509,3/15/2016,3/19/2016,"Standard Class",PL-18925,TEC-AC-10004855,83.976,3,0.2,-13.6461
CA-2017-108560,7/8/2017,7/15/2017,"Standard Class",JC-15385,OFF-LA-10003930,786.48,8,0,385.3752
CA-2015-157084,12/19/2015,12/24/2015,"Standard Class",JG-15160,TEC-AC-10002049,1265.85,3,0,556.974
CA-2015-111829,3/19/2015,3/20/2015,"First Class",FH-14365,TEC-CO-10001766,3149.93,7,0,1480.4671
CA-2014-135699,8/29/2014,8/29/2014,"Same Day",HH-15010,OFF-PA-10004475,109.92,2,0,53.8608
US-2017-132444,11/18/2017,11/21/2017,"First Class",CD-12280,OFF-ST-10003442,169.68,6,0,45.8136
CA-2016-107615,3/22/2016,3/25/2016,"First Class",RB-19645,TEC-AC-10001013,58.58,2,0,19.3314
CA-2017-143798,12/10/2017,12/12/2017,"First Class",AW-10840,FUR-FU-10004306,310.88,2,0.2,23.316
CA-2015-114069,7/13/2015,7/15/2015,"Second Class",ND-18370,FUR-CH-10000595,1931.04,9,0.1,321.84
US-2017-124968,9/8/2017,9/13/2017,"Second Class",MM-18055,FUR-TA-10004289,765.625,7,0.5,-566.5625
CA-2016-169943,5/19/2016,5/24/2016,"Standard Class",BN-11515,OFF-ST-10004123,454.9,5,0,0
US-2017-164056,4/29/2017,5/4/2017,"Second Class",FM-14215,FUR-TA-10001307,1048.35,5,0.4,-69.89
US-2016-131149,7/10/2016,7/14/2016,"Standard Class",LH-17155,OFF-ST-10000689,338.04,3,0.2,-33.804
CA-2015-105347,11/24/2015,11/28/2015,"Standard Class",DP-13000,OFF-PA-10000675,368.91,9,0,180.7659
CA-2015-154326,2/15/2015,2/19/2015,"Standard Class",RP-19855,TEC-PH-10000560,699.98,2,0,195.9944
CA-2014-120474,12/1/2014,12/3/2014,"First Class",RP-19390,FUR-CH-10001854,2807.84,8,0,673.8816
US-2017-139465,8/27/2017,8/30/2017,"First Class",MR-17545,TEC-PH-10000455,347.97,3,0,100.9113
CA-2017-158379,9/22/2017,9/26/2017,"Second Class",JA-15970,OFF-SU-10002881,4663.736,7,0.2,-1049.3406
US-2016-116729,12/25/2016,12/28/2016,"First Class",GK-14620,TEC-PH-10002200,2575.944,7,0.2,257.5944
CA-2016-164938,2/11/2016,2/13/2016,"First Class",PB-19210,TEC-PH-10004897,69.93,7,0,0.6993
CA-2014-132612,6/9/2014,6/11/2014,"Second Class",FO-14305,FUR-TA-10004534,1441.3,7,0,245.021
CA-2016-109344,2/8/2016,2/11/2016,"Second Class",CH-12070,TEC-PH-10002624,1127.976,3,0.2,126.8973
CA-2014-103373,5/18/2014,5/24/2014,"Standard Class",BS-11755,TEC-PH-10002885,779.796,2,0.4,-168.9558
CA-2017-145884,10/21/2017,10/21/2017,"Same Day",SL-20155,TEC-PH-10000895,1439.92,8,0,374.3792
CA-2017-162691,8/1/2017,8/7/2017,"Standard Class",AS-10045,TEC-MA-10000488,1439.982,3,0.4,-263.9967
CA-2017-122693,2/19/2017,2/21/2017,"Second Class",NH-18610,OFF-AP-10002518,1245.86,7,0,361.2994
US-2017-158512,1/12/2017,1/17/2017,"Second Class",DA-13450,OFF-PA-10001804,40.08,6,0,19.2384
CA-2015-160472,7/20/2015,7/25/2015,"Second Class",RK-19300,TEC-AC-10002253,831.2,5,0,124.68
US-2016-100839,10/13/2016,10/17/2016,"Standard Class",NC-18625,FUR-TA-10004575,727.45,5,0.5,-465.568
CA-2014-116932,7/21/2014,7/25/2014,"Standard Class",ME-18010,FUR-CH-10001215,801.568,2,0.2,50.098
CA-2014-140165,5/13/2014,5/15/2014,"First Class",EH-14005,OFF-BI-10004519,398.352,8,0.7,-331.96
CA-2017-141789,10/3/2017,10/6/2017,"First Class",AC-10450,OFF-BI-10001359,1793.98,2,0,843.1706
CA-2014-169775,8/29/2014,9/2/2014,"Second Class",RA-19945,OFF-BI-10004390,505.176,4,0.7,-336.784
CA-2017-154410,10/21/2017,10/24/2017,"First Class",MD-17860,OFF-ST-10002743,909.12,8,0,9.0912
CA-2017-157987,9/2/2017,9/6/2017,"Standard Class",AC-10615,FUR-CH-10003379,1282.41,5,0.1,213.735
CA-2014-110408,10/18/2014,10/20/2014,"Second Class",AS-10225,TEC-PH-10002352,1394.95,5,0,362.687
CA-2016-147417,7/25/2016,7/27/2016,"First Class",CB-12415,TEC-CO-10001449,1439.976,4,0.4,191.9968
CA-2015-127509,11/9/2015,11/13/2015,"Standard Class",AS-10090,FUR-TA-10002855,1024.38,7,0,215.1198
CA-2017-163510,12/25/2017,12/28/2017,"Second Class",JW-15955,FUR-CH-10001146,304.45,5,0,76.1125
CA-2015-155761,12/11/2015,12/11/2015,"Same Day",SC-20800,TEC-AC-10001606,159.984,2,0.2,35.9964
CA-2015-117961,11/26/2015,11/30/2015,"Standard Class",GP-14740,OFF-ST-10001172,104.9,5,0,25.176
CA-2017-120376,12/22/2017,12/25/2017,"First Class",TP-21130,FUR-CH-10002335,1586.69,7,0,412.5394
CA-2017-140676,9/12/2017,9/15/2017,"First Class",BF-11080,OFF-PA-10004243,94.85,5,0,45.528
CA-2015-164882,10/31/2015,10/31/2015,"Same Day",SG-20080,TEC-PH-10001578,1295.84,4,0.2,145.782
US-2017-168690,1/7/2017,1/13/2017,"Standard Class",TS-21085,OFF-BI-10000145,2.808,3,0.7,-1.9656
US-2016-152051,6/25/2016,6/29/2016,"Standard Class",TS-21160,FUR-CH-10002965,422.058,3,0.3,-18.0882
CA-2016-128818,5/7/2016,5/11/2016,"Standard Class",CJ-12010,TEC-MA-10000488,3999.95,5,0,1159.9855
CA-2017-143063,8/10/2017,8/15/2017,"Standard Class",IL-15100,TEC-PH-10003645,1454.49,9,0,378.1674
US-2014-165659,6/1/2014,6/6/2014,"Standard Class",LT-17110,TEC-PH-10002563,881.93,7,0,229.3018
CA-2014-125556,11/14/2014,11/16/2014,"Second Class",ML-17410,TEC-PH-10001079,832.93,7,0,233.2204
CA-2017-130841,7/28/2017,8/1/2017,"Standard Class",MH-17620,TEC-PH-10001817,1145.6,4,0.2,100.24
CA-2017-157091,6/26/2017,7/1/2017,"Standard Class",DB-13405,FUR-FU-10000293,526.45,5,0,31.587
CA-2017-132122,7/9/2017,7/14/2017,"Standard Class",JH-15820,OFF-ST-10003692,228.92,5,0.2,14.3075
CA-2016-146633,11/15/2016,11/17/2016,"Second Class",TG-21310,OFF-BI-10003527,1016.792,1,0.2,381.297
CA-2017-103380,11/21/2017,11/25/2017,"Standard Class",BF-11005,TEC-PH-10004165,659.976,3,0.2,49.4982
CA-2017-105214,6/16/2017,6/19/2017,"First Class",TS-21610,FUR-CH-10000015,1212.96,7,0.2,90.972
CA-2015-117611,11/8/2015,11/10/2015,"Second Class",MZ-17335,TEC-AC-10002049,371.97,3,0,66.9546
CA-2016-131065,11/14/2016,11/16/2016,"Second Class",AA-10375,TEC-AC-10004145,499.98,2,0,114.9954
CA-2015-142944,3/6/2015,3/11/2015,"Standard Class",JL-15850,TEC-CO-10003763,1119.984,2,0.2,377.9946
CA-2015-113145,11/1/2015,11/5/2015,"Standard Class",VD-21670,TEC-AC-10001838,1399.93,7,0,601.9699
CA-2017-157931,9/17/2017,9/22/2017,"Second Class",MO-17800,FUR-CH-10000785,723.92,4,0,188.2192
CA-2015-111514,8/31/2015,9/2/2015,"First Class",SC-20260,FUR-BO-10002545,1552.831,7,0.15,200.9546
US-2014-148838,3/17/2014,3/21/2014,"Standard Class",CP-12340,FUR-TA-10003473,1579.746,7,0.4,-447.5947
US-2015-127040,12/6/2015,12/10/2015,"Standard Class",SG-20605,TEC-AC-10002637,1619.91,9,0,97.1946
CA-2017-108574,10/7/2017,10/11/2017,"Standard Class",MG-18145,TEC-AC-10002049,1115.91,9,0,200.8638
CA-2016-156300,12/29/2016,1/2/2017,"Standard Class",TB-21595,FUR-CH-10001714,754.45,5,0,60.356
CA-2017-168655,10/12/2017,10/18/2017,"Standard Class",ML-18040,TEC-AC-10002842,595,5,0,95.2
CA-2016-107202,5/21/2016,5/28/2016,"Standard Class",LC-16930,TEC-MA-10000112,2396.4,10,0.2,179.73
CA-2015-154746,11/14/2015,11/17/2015,"First Class",PJ-18835,OFF-AP-10003057,826.11,3,0,322.1829
CA-2016-146934,5/22/2016,5/27/2016,"Standard Class",AF-10870,OFF-AP-10003217,662.84,4,0,172.3384
CA-2017-128755,5/4/2017,5/8/2017,"Standard Class",MK-18160,OFF-ST-10003306,571.44,4,0,165.7176
US-2016-135923,1/22/2016,1/28/2016,"Standard Class",CM-11935,FUR-BO-10002213,451.136,4,0.2,-67.6704
CA-2016-114972,11/3/2016,11/6/2016,"First Class",PF-19225,OFF-AP-10003057,1101.48,4,0,429.5772
CA-2017-126067,8/28/2017,9/3/2017,"Standard Class",KN-16705,FUR-TA-10000617,1137.75,5,0,250.305
CA-2015-141040,10/9/2015,10/13/2015,"Second Class",TB-21250,TEC-PH-10001835,631.96,4,0,303.3408
CA-2014-144624,11/19/2014,11/23/2014,"Standard Class",JM-15865,TEC-PH-10002885,4548.81,7,0,1228.1787
CA-2014-136644,6/16/2014,6/22/2014,"Standard Class",SC-20575,FUR-CH-10000225,647.84,8,0,32.392
CA-2014-143917,7/25/2014,7/27/2014,"Second Class",KL-16645,OFF-SU-10000151,8187.65,5,0,327.506
CA-2016-136812,11/18/2016,11/23/2016,"Standard Class",AW-10930,OFF-ST-10003470,1117.92,4,0,55.896
CA-2015-102722,4/18/2015,4/19/2015,"First Class",KW-16570,TEC-AC-10003116,106.5,6,0,41.535
CA-2014-128888,11/15/2014,11/22/2014,"Standard Class",PB-19105,OFF-EN-10003001,604.656,9,0.2,204.0714
CA-2016-124352,10/15/2016,10/21/2016,"Standard Class",CD-12790,OFF-AP-10002651,868.59,3,0,251.8911
US-2017-117723,8/15/2017,8/18/2017,"Second Class",DL-13495,OFF-ST-10004459,1801.632,6,0.2,-337.806
CA-2015-113404,7/16/2015,7/16/2015,"Same Day",EM-13810,FUR-CH-10003312,1348.704,6,0.2,-219.1644
CA-2014-164385,9/26/2014,10/1/2014,"Second Class",NB-18580,OFF-AP-10002191,143.952,3,0.2,14.3952
CA-2016-118626,8/15/2016,8/20/2016,"Standard Class",JC-15775,TEC-PH-10000369,705.544,7,0.2,70.5544
CA-2015-147788,5/31/2015,6/4/2015,"Standard Class",TM-21010,FUR-BO-10004357,1406.86,7,0,140.686
CA-2017-123967,11/1/2017,11/3/2017,"Second Class",SF-20200,FUR-TA-10003954,2665.62,9,0,239.9058
CA-2016-155845,8/12/2016,8/15/2016,"Second Class",CM-12235,TEC-AC-10004145,1399.944,7,0.2,52.4979
CA-2016-165848,6/4/2016,6/4/2016,"Same Day",EN-13780,TEC-MA-10003356,1349.85,3,0,364.4595
CA-2014-127446,11/25/2014,11/30/2014,"Standard Class",MC-17590,FUR-TA-10000577,1218.735,5,0.3,-121.8735
CA-2014-147298,4/26/2014,5/3/2014,"Standard Class",AG-10300,FUR-CH-10004886,230.28,3,0.2,23.028
